list,category,term,status,notes
forbidden_tokens,numbers_food_body,calorie,APPROVED,
forbidden_tokens,numbers_food_body,calories,APPROVED,
forbidden_tokens,numbers_food_body,kcal,APPROVED,
forbidden_tokens,numbers_food_body,bmi,APPROVED,
forbidden_tokens,numbers_food_body,macro,APPROVED,
forbidden_tokens,numbers_food_body,macros,APPROVED,
forbidden_tokens,numbers_food_body,kg,APPROVED,
forbidden_tokens,numbers_food_body,kgs,APPROVED,
forbidden_tokens,numbers_food_body,lbs,APPROVED,
forbidden_tokens,numbers_food_body,pound,APPROVED,
forbidden_tokens,numbers_food_body,pounds,APPROVED,
forbidden_tokens,numbers_food_body,weight,APPROVED,
forbidden_tokens,numbers_food_body,portion,APPROVED,
forbidden_tokens,numbers_food_body,portions,APPROVED,
forbidden_tokens,numbers_food_body,goal weight,APPROVED,
forbidden_tokens,shame,fail,APPROVED,
forbidden_tokens,shame,failed,APPROVED,
forbidden_tokens,shame,fails,APPROVED,
forbidden_tokens,shame,failing,APPROVED,
forbidden_tokens,shame,missed,APPROVED,
forbidden_tokens,shame,incomplete,APPROVED,
forbidden_tokens,shame,you didn't,APPROVED,
forbidden_tokens,appearance,you look,APPROVED,
forbidden_tokens,appearance,thin,APPROVED,
forbidden_tokens,appearance,fat,APPROVED,
forbidden_tokens,appearance,skinny,APPROVED,
forbidden_tokens,appearance,chubby,APPROVED,
forbidden_tokens,appearance,overweight,APPROVED,
forbidden_tokens,appearance,underweight,APPROVED,
forbidden_tokens,appearance,healthy weight,APPROVED,
forbidden_tokens,eating_advice,you should eat,APPROVED,
forbidden_tokens,eating_advice,eat more,APPROVED,
forbidden_tokens,eating_advice,eat less,APPROVED,
forbidden_tokens,eating_advice,skip the meal,APPROVED,
forbidden_tokens,eating_advice,skip a meal,APPROVED,
forbidden_tokens,eating_advice,restrict,APPROVED,
forbidden_tokens,eating_advice,go on a diet,APPROVED,
crisis_signals,,kill myself,APPROVED,
crisis_signals,,killing myself,APPROVED,
crisis_signals,,suicide,APPROVED,
crisis_signals,,suicidal,APPROVED,
crisis_signals,,end my life,APPROVED,
crisis_signals,,ending my life,APPROVED,
crisis_signals,,want to die,APPROVED,
crisis_signals,,wanted to die,APPROVED,
crisis_signals,,hurt myself,APPROVED,
crisis_signals,,hurting myself,APPROVED,
crisis_signals,,harm myself,APPROVED,
crisis_signals,,harming myself,APPROVED,
crisis_signals,,self-harm,APPROVED,
crisis_signals,,self harm,APPROVED,
crisis_signals,,don't want to be alive,APPROVED,
crisis_signals,,do not want to be alive,APPROVED,
crisis_signals,,better off dead,APPROVED,
crisis_signals,,end it all,APPROVED,
